player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Antonee Robinson,2020-2021,eng Premier League,349701,16,20.0,3,2,1368.0,1.0,1.0,1.316,0.188,0.125
Antonee Robinson,2022-2023,eng Premier League,349701,35,46.0,9,14,3089.0,8.0,0.0,1.34,0.257,0.4
Antonee Robinson,2023-2024,eng Premier League,349701,8,8.0,3,4,720.0,0.0,0.0,1.0,0.375,0.5
Antonin Barak,2020-2021,it Serie A,272261,4,6.0,0,1,360.0,0.0,1.0,1.5,0.0,0.25
Antonino Gallo,2022-2023,it Serie A,392516,28,30.0,6,7,2408.0,5.0,0.0,1.121,0.214,0.25
Antonino Gallo,2023-2024,it Serie A,392516,8,17.0,1,2,596.0,0.0,0.0,2.567,0.125,0.25
Antonio Barragán,2020-2021,es La Liga,32522,26,38.0,4,6,2192.0,7.0,0.0,1.56,0.154,0.231
Antonio Barragán,2021-2022,es La Liga,32522,12,23.0,2,3,922.0,5.0,0.0,2.245,0.167,0.25
Antonio Blanco,2022-2023,es La Liga,495621,1,4.0,0,0,61.0,0.0,0.0,5.902,0.0,0.0
Antonio Blanco,2023-2024,es La Liga,495621,8,7.0,4,3,689.0,2.0,0.0,0.914,0.5,0.375
Antonio Junior Vacca,2021-2022,it Serie A,102984,15,28.0,2,4,869.0,4.0,0.0,2.9,0.133,0.267
Antonio Puertas,2021-2022,es La Liga,262365,1,1.0,0,0,82.0,0.0,0.0,1.098,0.0,0.0
Antonio Raíllo,2021-2022,es La Liga,278296,17,30.0,3,6,1530.0,8.0,0.0,1.765,0.176,0.353
Antonio Raíllo,2022-2023,es La Liga,278296,31,32.0,10,11,2766.0,11.0,1.0,1.041,0.323,0.355
Antonio Raíllo,2023-2024,es La Liga,278296,8,10.0,2,3,675.0,2.0,0.0,1.333,0.25,0.375
Antonio Rüdiger,2020-2021,eng Premier League,86202,19,10.0,11,11,1710.0,0.0,0.0,0.526,0.579,0.579
Antonio Rüdiger,2021-2022,eng Premier League,86202,34,28.0,14,18,3036.0,9.0,0.0,0.83,0.412,0.529
Antonio Rüdiger,2022-2023,es La Liga,86202,26,25.0,10,13,2333.0,1.0,0.0,0.964,0.385,0.5
Antonio Rüdiger,2023-2024,es La Liga,86202,7,7.0,3,6,585.0,0.0,0.0,1.077,0.429,0.857
Antonio Sánchez,2021-2022,es La Liga,513031,2,2.0,1,1,156.0,0.0,0.0,1.154,0.5,0.5
Antonio Sánchez,2022-2023,es La Liga,513031,3,6.0,0,0,206.0,1.0,0.0,2.621,0.0,0.0
Antonio Sánchez,2023-2024,es La Liga,513031,2,2.0,1,1,119.0,1.0,0.0,1.513,0.5,0.5
Aníbal Chalá,2020-2021,fr Ligue 1,278796,8,19.0,1,1,601.0,0.0,0.0,2.845,0.125,0.125
Ardian Ismajli,2020-2021,it Serie A,435228,14,26.0,1,5,1237.0,3.0,0.0,1.892,0.071,0.357
Ardian Ismajli,2021-2022,it Serie A,435228,13,32.0,2,3,1125.0,6.0,0.0,2.56,0.154,0.231
Ardian Ismajli,2022-2023,it Serie A,435228,22,25.0,6,6,1979.0,3.0,0.0,1.137,0.273,0.273
Ardian Ismajli,2023-2024,it Serie A,435228,8,7.0,2,3,672.0,1.0,0.0,0.938,0.25,0.375
Arial Mendy,2021-2022,fr Ligue 1,422715,6,18.0,1,1,448.0,0.0,0.0,3.616,0.167,0.167
Aridane Hernández,2020-2021,es La Liga,82503,24,24.0,10,8,2028.0,3.0,1.0,1.065,0.417,0.333
Aridane Hernández,2021-2022,es La Liga,82503,12,19.0,3,5,1060.0,1.0,0.0,1.613,0.25,0.417
Aridane Hernández,2022-2023,es La Liga,82503,20,25.0,6,6,1755.0,1.0,0.0,1.282,0.3,0.3
Aridane Hernández,2023-2024,es La Liga,82503,8,12.0,1,0,720.0,0.0,0.0,1.5,0.125,0.0
Aritz Elustondo,2020-2021,es La Liga,229804,22,16.0,9,12,1870.0,4.0,0.0,0.77,0.409,0.545
Aritz Elustondo,2021-2022,es La Liga,229804,22,17.0,14,12,1937.0,3.0,1.0,0.79,0.636,0.545
Aritz Elustondo,2022-2023,es La Liga,229804,16,14.0,8,12,1257.0,5.0,1.0,1.002,0.5,0.75
Arkadiusz Reca,2020-2021,it Serie A,268178,1,4.0,0,0,90.0,0.0,0.0,4.0,0.0,0.0
Arkadiusz Reca,2021-2022,it Serie A,268178,16,23.0,5,6,1227.0,2.0,0.0,1.687,0.312,0.375
Arkadiusz Reca,2022-2023,it Serie A,268178,5,8.0,1,0,450.0,2.0,0.0,1.6,0.2,0.0
Armando Izzo,2020-2021,it Serie A,32113,24,31.0,7,6,1964.0,3.0,0.0,1.421,0.292,0.25
Armando Izzo,2021-2022,it Serie A,32113,6,5.0,2,2,437.0,3.0,0.0,1.03,0.333,0.333
Armando Izzo,2022-2023,it Serie A,32113,29,30.0,10,14,2472.0,10.0,0.0,1.092,0.345,0.483
Armando Izzo,2023-2024,it Serie A,32113,6,7.0,3,4,478.0,2.0,0.0,1.318,0.5,0.667
Armel Bella-Kotchap,2021-2022,de Bundesliga,467563,20,36.0,4,4,1746.0,5.0,0.0,1.856,0.2,0.2
Armel Bella-Kotchap,2022-2023,eng Premier League,467563,24,46.0,3,4,1885.0,4.0,0.0,2.196,0.125,0.167
Arnau Martínez,2022-2023,es La Liga,826224,31,50.0,2,10,2638.0,10.0,0.0,1.706,0.065,0.323
Arnau Martínez,2023-2024,es La Liga,826224,2,3.0,1,1,164.0,0.0,0.0,1.646,0.5,0.5
Arnau Puigmal,2022-2023,es La Liga,536030,1,1.0,0,0,81.0,0.0,0.0,1.111,0.0,0.0
Arnaud Souquet,2020-2021,fr Ligue 1,111058,8,14.0,1,3,589.0,2.0,0.0,2.139,0.125,0.375
Arnaud Souquet,2021-2022,fr Ligue 1,111058,25,39.0,7,8,2077.0,2.0,0.0,1.69,0.28,0.32
Arnaud Souquet,2022-2023,fr Ligue 1,111058,3,8.0,0,0,192.0,1.0,0.0,3.75,0.0,0.0
Arne Maier,2020-2021,de Bundesliga,296397,8,16.0,2,3,611.0,0.0,0.0,2.357,0.25,0.375
Arne Maier,2021-2022,de Bundesliga,296397,17,22.0,4,7,1325.0,0.0,0.0,1.494,0.235,0.412
Arne Maier,2022-2023,de Bundesliga,296397,1,2.0,0,0,68.0,0.0,0.0,2.647,0.0,0.0
Arouna Sangante,2023-2024,fr Ligue 1,768380,8,13.0,1,1,713.0,2.0,0.0,1.641,0.125,0.125
Arthur Atta,2023-2024,fr Ligue 1,855308,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Arthur Masuaku,2020-2021,eng Premier League,181380,9,12.0,3,4,763.0,1.0,0.0,1.415,0.333,0.444
Arthur Masuaku,2021-2022,eng Premier League,181380,3,5.0,1,0,270.0,0.0,0.0,1.667,0.333,0.0
Arthur Melo,2020-2021,it Serie A,362842,4,2.0,2,3,328.0,1.0,0.0,0.549,0.5,0.75
Arthur Melo,2021-2022,it Serie A,362842,7,5.0,4,6,563.0,1.0,0.0,0.799,0.571,0.857
Arthur Melo,2023-2024,it Serie A,362842,3,3.0,1,1,218.0,1.0,0.0,1.239,0.333,0.333
Arthur Theate,2021-2022,it Serie A,368891,28,40.0,8,8,2357.0,6.0,0.0,1.527,0.286,0.286
Arthur Theate,2022-2023,fr Ligue 1,368891,35,38.0,11,18,3129.0,6.0,0.0,1.093,0.314,0.514
Arthur Theate,2023-2024,fr Ligue 1,368891,6,8.0,1,4,507.0,0.0,0.0,1.42,0.167,0.667
Arthur Zagré,2020-2021,fr Ligue 1,536477,1,0.0,1,1,90.0,0.0,0.0,0.0,1.0,1.0
Artur Ioniță,2020-2021,it Serie A,98888,2,4.0,1,0,156.0,2.0,0.0,2.308,0.5,0.0
Arturo Vidal,2020-2021,it Serie A,37666,3,3.0,1,2,205.0,1.0,0.0,1.317,0.333,0.667
Ashley Westwood,2020-2021,eng Premier League,91317,15,28.0,2,1,1350.0,2.0,0.0,1.867,0.133,0.067
Ashley Westwood,2021-2022,eng Premier League,91317,15,27.0,2,1,1331.0,4.0,0.0,1.826,0.133,0.067
Ashley Young,2021-2022,eng Premier League,14086,5,2.0,3,3,450.0,0.0,0.0,0.4,0.6,0.6
Ashley Young,2022-2023,eng Premier League,14086,23,27.0,9,11,1895.0,4.0,0.0,1.282,0.391,0.478
