"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"53;""Lázaro"";""Almeria"";19;699;6;0;3.86;0.72;0.5;0.09;0.59;0.59;0.69;0.14",
"54;""Memphis Depay"";""Atletico Madrid","Barcelona"";10;386;5;0;4.54;0.77;1.06;0.18;1.24;1.24;1.43;0.24"
"55;""Ousmane Dembélé"";""Barcelona"";25;1427;5;7;5.2;5.95;0.33;0.38;0.7;0.7;1.07;0.47",
"56;""Edinson Cavani"";""Valencia"";25;1487;5;2;5.87;1.76;0.36;0.11;0.46;0.33;0.4;0.1",
"57;""Álvaro García"";""Rayo Vallecano"";35;2923;5;5;3.52;5.36;0.11;0.16;0.27;0.27;0.33;0.13",
"58;""Eder Militão"";""Real Madrid"";33;2696;5;0;3.47;0.66;0.12;0.02;0.14;0.14;0.51;0.49",
"59;""Juanmi"";""Real Betis"";22;926;4;0;4.85;1.21;0.47;0.12;0.59;0.59;0.74;0.21",
"60;""Lucas Ocampos"";""Sevilla"";19;1155;4;0;4.32;0.98;0.34;0.08;0.41;0.24;0.41;0.19",
"61;""Ezequiel Ponce"";""Elche"";33;1080;4;0;4.29;0.51;0.36;0.04;0.4;0.4;0.34;0.11",
"62;""Sergi Roberto"";""Barcelona"";23;1305;4;1;2.3;1.1;0.16;0.08;0.23;0.23;0.75;0.57",
"63;""Adrián Embarba"";""Almeria","Espanyol"";30;1536;4;3;3.95;3.16;0.23;0.19;0.42;0.37;0.33;0.12"
"64;""Mikel Oyarzabal"";""Real Sociedad"";23;1234;4;1;5.1;2.55;0.37;0.19;0.56;0.4;0.49;0.17",
"65;""Luka Modric"";""Real Madrid"";33;1756;4;3;3.43;5.13;0.18;0.26;0.44;0.4;0.82;0.59",
"66;""Lucas Vázquez"";""Real Madrid"";23;1136;4;1;1.89;1.58;0.15;0.12;0.27;0.27;0.74;0.54",
"67;""Theo Bongonda"";""Cadiz"";31;1996;4;3;4.3;2.89;0.19;0.13;0.32;0.29;0.35;0.09",
"68;""Samu Castillejo"";""Valencia"";25;1390;4;0;3.35;3.34;0.22;0.22;0.43;0.43;0.49;0.23",
"69;""Leo Baptistao"";""Almeria"";28;1775;4;1;4.97;1.32;0.25;0.07;0.32;0.32;0.33;0.08",
"70;""Gonzalo Escalante"";""Cadiz"";14;1132;4;1;3.49;1.37;0.28;0.11;0.39;0.39;0.46;0.13",
"71;""Sergio Canales"";""Real Betis"";31;2432;4;3;4.66;5.27;0.17;0.19;0.37;0.34;0.47;0.21",
"72;""Raúl de Tomás"";""Rayo Vallecano"";19;800;4;0;4.35;0.7;0.49;0.08;0.57;0.4;0.45;0.08",
