"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"162;""Selim Amallah"";""Real Valladolid"";7;270;2;1;0.71;0.49;0.24;0.16;0.4;0.4;0.62;0.42",
"163;""Andreas Christensen"";""Barcelona"";23;1783;1;1;1.2;0.71;0.06;0.04;0.1;0.1;0.43;0.42",
"164;""David Alaba"";""Real Madrid"";23;1843;1;3;1.07;0.88;0.05;0.04;0.1;0.1;0.48;0.45",
"165;""Matija Nastasic"";""Mallorca"";14;897;1;0;0.61;0;0.06;0;0.06;0.06;0.08;0.07",
"166;""Gabriel"";""Valencia"";21;1508;1;0;1.2;0.31;0.07;0.02;0.09;0.09;0.19;0.18",
"167;""Francis Coquelin"";""Villarreal"";16;746;1;0;0.78;1.23;0.09;0.15;0.24;0.24;0.38;0.18",
"168;""Aleix García"";""Girona"";30;2346;1;5;1.5;7.22;0.06;0.28;0.33;0.33;0.53;0.4",
"169;""Pol Lirola"";""Elche"";12;629;1;0;0.42;0.65;0.06;0.09;0.15;0.15;0.24;0.09",
"170;""Franck Kessié"";""Barcelona"";28;953;1;1;1.56;0.71;0.15;0.07;0.21;0.21;0.53;0.33",
"171;""Alejandro Gomez"";""Sevilla"";19;1060;1;1;1.48;2.05;0.13;0.17;0.3;0.3;0.6;0.33",
"172;""Marcos Alonso"";""Barcelona"";24;1143;1;0;1.09;0.41;0.09;0.03;0.12;0.12;0.58;0.58",
"173;""Álvaro Negredo"";""Cadiz"";21;756;1;2;2.04;2.4;0.24;0.29;0.53;0.53;0.58;0.13",
"174;""Bernardo"";""Girona"";20;1240;1;1;1.55;0.05;0.11;0;0.12;0.12;0.36;0.32",
"175;""Antonio Rüdiger"";""Real Madrid"";33;2403;1;0;1.68;0.14;0.06;0.01;0.07;0.07;0.47;0.46",
"176;""Sergio Escudero"";""Real Valladolid"";23;1450;1;0;1.8;1.76;0.11;0.11;0.22;0.22;0.3;0.23",
"177;""Carlos Fernández"";""Real Sociedad"";24;623;1;0;3.32;0.41;0.48;0.06;0.54;0.54;0.55;0.17",
"178;""Ivan Rakitic"";""Sevilla"";31;1788;1;3;3.07;1.8;0.15;0.09;0.24;0.17;0.42;0.32",
"179;""Damián Suárez"";""Getafe"";28;1991;1;1;0.62;1.9;0.03;0.09;0.11;0.11;0.24;0.16",
"180;""Yuri"";""Athletic Club"";29;2403;1;1;1.27;1.32;0.05;0.05;0.1;0.1;0.26;0.22",
"181;""Asier Illarramendi"";""Real Sociedad"";24;1082;1;0;0.83;0.34;0.07;0.03;0.1;0.1;0.43;0.35",
"182;""Nacho"";""Real Madrid"";27;1620;1;1;0.72;0.88;0.04;0.05;0.09;0.09;0.45;0.39",
"183;""Igor Zubeldia"";""Real Sociedad"";31;2549;1;1;0.88;0.31;0.03;0.01;0.04;0.04;0.22;0.21",
"184;""De Marcos"";""Athletic Club"";37;2834;1;6;0.75;3.41;0.02;0.11;0.13;0.13;0.34;0.27",
"185;""Carlos Soler"";""Valencia"";3;247;1;0;0.92;0.2;0.33;0.07;0.41;0.14;0.16;0.09",
"186;""Toni Lato"";""Valencia"";24;887;1;0;1.05;0.88;0.11;0.09;0.2;0.2;0.42;0.28",
"187;""Iñigo Martínez"";""Athletic Club"";15;1341;1;0;1;0.2;0.07;0.01;0.08;0.08;0.25;0.24",
"188;""José Gayá"";""Valencia"";31;2729;1;3;2.36;6.03;0.08;0.2;0.28;0.25;0.37;0.2",
"189;""Marcos Llorente"";""Atletico Madrid"";22;1722;1;2;1.61;4.32;0.08;0.23;0.31;0.31;0.57;0.3",
"190;""Roger"";""Cadiz","Elche"";26;1296;1;1;3.64;0.89;0.25;0.06;0.31;0.31;0.37;0.06"
"191;""Lazo"";""Almeria","Espanyol"";11;137;1;1;0.26;0.68;0.17;0.44;0.62;0.62;0.31;0.17"
"192;""Sergio Akieme"";""Almeria"";29;2303;1;0;1.76;2.06;0.07;0.08;0.15;0.15;0.33;0.24",
"193;""Gerard Gumbau"";""Elche"";35;2765;1;6;2.25;6.21;0.07;0.2;0.28;0.28;0.29;0.19",
"194;""Karim Rekik"";""Sevilla"";16;1197;1;1;0.74;0.14;0.06;0.01;0.07;0.07;0.32;0.27",
"195;""Youssouf Sabaly"";""Real Betis"";23;1686;1;1;0.46;1.02;0.02;0.05;0.08;0.08;0.26;0.21",
"196;""Thomas Lemar"";""Atletico Madrid"";27;1264;1;3;1.2;1.88;0.09;0.13;0.22;0.22;0.51;0.32",
"197;""Ronael Pierre Gabriel"";""Espanyol"";8;240;1;0;0.09;0.14;0.03;0.05;0.08;0.08;0.2;0.12",
"198;""Borja"";""Girona"";11;691;1;0;0.53;0.56;0.07;0.07;0.14;0.14;0.3;0.17",
"199;""Unai López"";""Rayo Vallecano"";34;1218;1;2;1.18;1.02;0.09;0.08;0.16;0.16;0.3;0.23",
"200;""Ángel"";""Mallorca"";17;352;1;0;2.33;0.08;0.59;0.02;0.61;0.61;0.68;0.11",
"201;""Iván Sánchez"";""Real Valladolid"";25;1125;1;1;0.47;1.88;0.04;0.15;0.19;0.19;0.34;0.24",
"202;""Darko Brasanac"";""Osasuna"";25;1004;1;1;1.14;0.77;0.1;0.07;0.17;0.17;0.35;0.26",
"203;""Yeray Álvarez"";""Athletic Club"";28;2343;1;1;0.52;1.35;0.02;0.05;0.07;0.07;0.22;0.18",
"204;""Kike Barja"";""Osasuna"";27;1326;1;6;1.08;4.22;0.07;0.29;0.36;0.36;0.39;0.18",
"205;""Alexander Isak"";""Real Sociedad"";2;157;1;0;0.56;0.11;0.32;0.06;0.38;0.38;0.38;0",
"206;""Juanpe"";""Girona"";19;1431;1;0;0.4;0.5;0.03;0.03;0.06;0.06;0.26;0.26",
"207;""Andrés Guardado"";""Real Betis"";26;1378;1;1;0.23;1.31;0.02;0.09;0.1;0.1;0.35;0.28",
"208;""Pau Torres"";""Villarreal"";34;3055;1;0;2.12;1.14;0.06;0.03;0.1;0.1;0.45;0.44",
"209;""Juan Foyth"";""Villarreal"";24;1967;1;0;1.42;1.59;0.06;0.07;0.14;0.14;0.36;0.31",
