player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Michael Esser,2021-2022,de Bundesliga,61989,3,7.0,0,2,270.0,0.0,0.0,2.333,0.0,0.667
Michael Langer,2020-2021,de Bundesliga,19114,2,8.0,0,0,180.0,0.0,0.0,4.0,0.0,0.0
Michael Zetterer,2022-2023,de Bundesliga,196813,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Michael Zetterer,2023-2024,de Bundesliga,196813,9,10.0,3,4,810.0,0.0,0.0,1.111,0.333,0.444
Michele Cerofolini,2022-2023,it Serie A,370701,5,3.0,2,4,450.0,0.0,0.0,0.6,0.4,0.8
Michele Cerofolini,2023-2024,it Serie A,370701,2,4.0,0,0,180.0,1.0,0.0,2.0,0.0,0.0
Michele Di Gregorio,2022-2023,it Serie A,301238,37,49.0,10,14,3330.0,0.0,0.0,1.324,0.27,0.378
Michele Di Gregorio,2023-2024,it Serie A,301238,8,8.0,5,5,673.0,0.0,0.0,1.07,0.625,0.625
Mike Maignan,2020-2021,fr Ligue 1,182906,38,23.0,21,24,3420.0,1.0,0.0,0.605,0.553,0.632
Mike Maignan,2021-2022,it Serie A,182906,32,21.0,17,22,2880.0,1.0,0.0,0.656,0.531,0.688
Mike Maignan,2022-2023,it Serie A,182906,22,21.0,8,11,1979.0,0.0,0.0,0.955,0.364,0.5
Mike Maignan,2023-2024,it Serie A,182906,9,12.0,3,6,810.0,0.0,0.0,1.333,0.333,0.667
Mile Svilar,2022-2023,it Serie A,338670,3,3.0,1,1,270.0,1.0,0.0,1.0,0.333,0.333
Mile Svilar,2023-2024,it Serie A,338670,5,5.0,2,4,450.0,1.0,0.0,1.0,0.4,0.8
Moritz Nicolas,2023-2024,de Bundesliga,284270,9,14.0,2,1,810.0,0.0,0.0,1.556,0.222,0.111
Mory Diaw,2022-2023,fr Ligue 1,164904,37,47.0,10,17,3330.0,0.0,0.0,1.27,0.27,0.459
Mory Diaw,2023-2024,fr Ligue 1,164904,7,15.0,1,1,630.0,0.0,0.0,2.143,0.143,0.143
Mouhamadou Sarr,2022-2023,it Serie A,338101,2,3.0,1,1,180.0,0.0,0.0,1.5,0.5,0.5
Neto,2020-2021,es La Liga,111819,7,6.0,3,3,630.0,0.0,0.0,0.857,0.429,0.429
Neto,2021-2022,es La Liga,111819,3,4.0,0,2,270.0,0.0,0.0,1.333,0.0,0.667
Neto,2022-2023,eng Premier League,111819,27,40.0,6,9,2385.0,4.0,0.0,1.509,0.222,0.333
Neto,2023-2024,eng Premier League,111819,9,17.0,1,2,810.0,1.0,0.0,1.889,0.111,0.222
Nick Pope,2020-2021,eng Premier League,192080,32,37.0,11,10,2880.0,1.0,0.0,1.156,0.344,0.312
Nick Pope,2021-2022,eng Premier League,192080,36,47.0,9,7,3240.0,1.0,0.0,1.306,0.25,0.194
Nick Pope,2022-2023,eng Premier League,192080,37,32.0,14,19,3262.0,3.0,1.0,0.883,0.378,0.514
Nicola Ravaglia,2022-2023,it Serie A,42796,9,23.0,0,0,810.0,0.0,0.0,2.556,0.0,0.0
Nicolò Manfredini,2020-2021,it Serie A,139743,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Niki Mäenpää,2021-2022,it Serie A,12359,16,26.0,1,1,1440.0,0.0,0.0,1.625,0.062,0.062
Niklas Lomb,2020-2021,de Bundesliga,85543,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Noah Atubolu,2023-2024,de Bundesliga,526845,9,22.0,0,2,810.0,0.0,0.0,2.444,0.0,0.222
